uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Willow Thai,Willow Thai Restaurant,-0.4633333333333334,a15153106606584459681,TElxqo4-Tk-EDVQdACKp2g,"asian fusion,asian,thai","fried rice,noodle,pad see ew,cashew nut,satay,crispy,tom yum,massaman curry,prawn,serving size","restaurant,thai"
Sushi on Fire Ed.Square,Sushi on Fire,1.9933333333333332,a8256656959262691441,ZiX542rxQ3q993l_SC_lig,"sushi,asian,japanese","sauce,salmon,spicy,price,chef,bento,chicken,star,takeout,train",japanese
Najis Edmondson Park,Naji's Charcoal Chicken and Kebabs - Ed Square,-6.043586819078014,a10536341777500203980,j3QcNzFhTBqBA8-5L9kcBA,"middle eastern,chicken,exclusive to eats,burger,lebanese,salad,kebab","spicy,falafel,price,garlic sauce,chip,cooked,chilli sauce,family,bread,wrap",chicken
Lonestar Ribhouse (Ed Square),Lone Star Rib House & Brews Ed Square,-5.038077055383557,a610282594284104276,FLTq3oCHWA-dZzp_MhKr6w,"wing,burger,salad","bone,well done,rib,birthday,mushroom sauce,cooked,rump steak,waitres,wagyu,medium rare steak",restaurant
The One Chinese Restaurant,The One Prestons,-2.72,a10744224522672550759,lH20nvrxQ9ym83BtGc501A,"rice and curry,seafood,chinese","dinner,honey,price,rude,coffee,area,star,money,delivery,portion size","chinese,chinese takeout"
Pizza2go,Pizza 2 Go,-5.15885175664096,a5175614276015890274,ep7kwzL3SjKtqiBP3PXycg,"pasta,pizza,fast food","peri peri,order,price,owner,topping,garlic bread,chicken,phone,value,money","european,italian,pizza delivery"
Mezban Restaurant,Mezban Restaurant - Bangladeshi Cuisine,-3.2544444444444447,a8483153943664656203,TDUfQw2RRYu4CAgicwd7kw,"indian,halal,indian curry,asian,kid friendly,fast food","quantity,kacchi biriyani,polao,food,price,chef,butter chicken,paratha,service,fuchka,tandoori chicken","breakfast,indian muslim,indian takeout,halal,bangladeshi,modern indian,indian,delivery,biryani"
Red Rock Charcoal,Red Rock Charcoal Chicken,-5.645350877192983,a15833986117479855404,e-8G79zfRl-SJBiiRxkZMw,"cafe,burger","price,garlic sauce,lunch,chip,plate,area,salad,juice,burger,wrap","fast food,chip,chicken,fish,ice cream,portuguese,takeout,mediterranean,burger,dessert"
Kin Sing Chinese,Kin Sing Chinese Take Away,-1.0,a10121065941936630421,L0mWUVMzVPScoh0wqDYHzw,chinese,"fried,price","chinese,chinese takeout"
Munoosh hut,Munoosh Hut - Lebanese Pizzeria,-5.650906536718572,a13010187514939093888,f4Rwwfj3SQ-EYhb6lKGciQ,"cheese,pizza,lebanese","pizza,area,cooked","lebanese,restaurant"
Gong Cha (Minto),Gong Cha | Minto Marketplace,-4.028510324483776,a16635332744603948571,jmmLq4stQNe_OGGaqiebhw,"dessert,asian,juice and smoothy",,bubble tea
